"folder";"min_modified";"max_modified";"min_accessed";"max_accessed";"files"
"/workspaces/simulation_management/VSM";"2025-08-20";"2025-10-27";"2025-10-27";"2025-10-27";"[<DirEntry 'test_query_database.py'>, <DirEntry 'kill_process.md'>, <DirEntry 'SEPARATE_TABLE_IMPLEMENTATION.md'>, <DirEntry 'CleanupConfiguration_refactoring_progress.md'>, <DirEntry 'description.md'>, <DirEntry '.gitignore'>, <DirEntry 'VSM.slnx'>, <DirEntry 'CLEANUP_CONFIGURATION_REFERENCES.md'>, <DirEntry 'presentation.md'>, <DirEntry 'watch_cmd.md'>, <DirEntry 'requirements.txt'>, <DirEntry 'test_query_verification.py'>, <DirEntry 'query_verification_final.py'>]"
"/workspaces/simulation_management/VSM/VSM.Client";"2025-08-19";"2025-08-19";"2025-10-27";"2025-10-27";"[<DirEntry 'Routes.razor'>, <DirEntry 'Program.cs'>, <DirEntry 'VSM.Client.csproj'>, <DirEntry 'VSM.Client.slnx'>, <DirEntry 'ClientRoutes.razor'>, <DirEntry '_Imports.razor'>, <DirEntry 'App.razor'>]"
"/workspaces/simulation_management/VSM/VSM";"2025-08-19";"2025-08-19";"2025-10-27";"2025-10-27";"[<DirEntry 'Program.cs'>, <DirEntry 'VSM.slnx'>, <DirEntry 'appsettings.json'>, <DirEntry 'VSM.csproj'>]"
"/workspaces/simulation_management/VSM/server";"2025-08-12";"2025-10-27";"2025-10-27";"2025-10-27";"[<DirEntry 'test_hierarchical_insert.py'>, <DirEntry 'run_dtos_unittests.py'>, <DirEntry 'main.py'>, <DirEntry '.gitignore'>, <DirEntry 'run_db_unittests.py'>, <DirEntry 'demo_hierarchical_insert.py'>, <DirEntry 'run_integration_test.py'>, <DirEntry 'pytest.ini'>, <DirEntry 'client_test_db.sqlite'>, <DirEntry 'test_helpers_standalone.py'>, <DirEntry '.coverage'>, <DirEntry 'requirements.txt'>, <DirEntry 'run_all_unittests.py'>, <DirEntry 'run_api_unittests.py'>]"
"/workspaces/simulation_management/VSM/.venv";"2025-09-12";"2025-09-12";"2025-10-27";"2025-10-27";"[<DirEntry 'pyvenv.cfg'>]"
"/workspaces/simulation_management/VSM/.vscode";"2025-08-25";"2025-10-27";"2025-10-27";"2025-10-27";"[<DirEntry 'launch.json'>, <DirEntry 'extensions.json'>, <DirEntry 'tasks.json'>, <DirEntry 'settings.json'>]"
"/workspaces/simulation_management/VSM/output/_Temp";"2025-10-27";"2025-10-27";"2025-10-27";"2025-10-27";"[<DirEntry 'log.csv'>]"
"/workspaces/simulation_management/VSM/VSM.Client/wwwroot";"2025-08-19";"2025-08-19";"2025-10-27";"2025-10-27";"[<DirEntry 'index.html'>, <DirEntry 'favicon.ico'>, <DirEntry 'client-app.css'>, <DirEntry 'icon-192.png'>, <DirEntry 'appsettings.json'>, <DirEntry 'appsettings.Development.json'>]"
"/workspaces/simulation_management/VSM/VSM.Client/Properties";"2025-08-19";"2025-08-19";"2025-10-27";"2025-10-27";"[<DirEntry 'launchSettings.json'>]"
"/workspaces/simulation_management/VSM/VSM.Client/Models";"2025-09-26";"2025-10-15";"2025-10-27";"2025-10-27";"[<DirEntry 'DTOs.cs'>, <DirEntry 'library.cs'>, <DirEntry 'rootfolder.cs'>, <DirEntry 'commands.cs'>, <DirEntry 'folders.cs'>]"
"/workspaces/simulation_management/VSM/VSM.Client/Pages";"2025-07-28";"2025-10-15";"2025-10-27";"2025-10-27";"[<DirEntry 'Master_detail.razor'>, <DirEntry 'DebugTest razor.cs'>, <DirEntry 'Marimo.razor.back_css'>, <DirEntry 'RetentionPage.razor'>, <DirEntry 'Quickgrid.razor.back_css'>, <DirEntry 'RetentionPage.razor.css'>, <DirEntry 'RetentionPage.razor.cs'>, <DirEntry 'Marimo.back_razor'>, <DirEntry 'LibraryPage.razor'>, <DirEntry 'Quickgrid.back_razor'>, <DirEntry 'DebugTest.razor'>]"
"/workspaces/simulation_management/VSM/VSM.Client/obj";"2025-09-11";"2025-09-11";"2025-09-11";"2025-10-27";"[<DirEntry 'project.assets.json'>, <DirEntry 'project.nuget.cache'>, <DirEntry 'VSM.Client.csproj.nuget.g.targets'>, <DirEntry 'VSM.Client.csproj.nuget.dgspec.json'>, <DirEntry 'VSM.Client.csproj.nuget.g.props'>]"
"/workspaces/simulation_management/VSM/VSM.Client/API";"2025-10-15";"2025-10-15";"2025-10-27";"2025-10-27";"[<DirEntry 'api.cs'>]"
"/workspaces/simulation_management/VSM/VSM.Client/Layout";"2025-08-19";"2025-08-19";"2025-10-27";"2025-10-27";"[<DirEntry 'MainLayout.razor'>, <DirEntry 'NavMenu.razor'>]"
"/workspaces/simulation_management/VSM/VSM.Client/.vscode";"2025-08-19";"2025-08-19";"2025-10-27";"2025-10-27";"[<DirEntry 'launch.json'>, <DirEntry 'tasks.json'>, <DirEntry 'settings.json'>]"
